DATE,A191RL1A225NBEA
1930-01-01,-8.5
1931-01-01,-6.4
1932-01-01,-12.9
1933-01-01,-1.2
1934-01-01,10.8
1935-01-01,8.9
1936-01-01,12.9
1937-01-01,5.1
1938-01-01,-3.3
1939-01-01,8
1940-01-01,8.8
1941-01-01,17.7
1942-01-01,18.9
1943-01-01,17
1944-01-01,8
1945-01-01,-1
1946-01-01,-11.6
1947-01-01,-1.1
1948-01-01,4.1
1949-01-01,-0.6
1950-01-01,8.7
1951-01-01,8.0
1952-01-01,4.1
1953-01-01,4.7
1954-01-01,-0.6
1955-01-01,7.1
1956-01-01,2.1
1957-01-01,2.1
1958-01-01,-0.7
1959-01-01,6.9
1960-01-01,2.6
1961-01-01,2.6
1962-01-01,6.1
1963-01-01,4.4
1964-01-01,5.8
1965-01-01,6.5
1966-01-01,6.6
1967-01-01,2.7
1968-01-01,4.9
1969-01-01,3.1
1970-01-01,0.2
1971-01-01,3.3
1972-01-01,5.3
1973-01-01,5.6
1974-01-01,-0.5
1975-01-01,-0.2
1976-01-01,5.4
1977-01-01,4.6
1978-01-01,5.5
1979-01-01,3.2
1980-01-01,-0.3
1981-01-01,2.5
1982-01-01,-1.8
1983-01-01,4.6
1984-01-01,7.2
1985-01-01,4.2
1986-01-01,3.5
1987-01-01,3.5
1988-01-01,4.2
1989-01-01,3.7
1990-01-01,1.9
1991-01-01,-0.1
1992-01-01,3.5
1993-01-01,2.8
1994-01-01,4
1995-01-01,2.7
1996-01-01,3.8
1997-01-01,4.4
1998-01-01,4.5
1999-01-01,4.8
2000-01-01,4.1
2001-01-01,1
2002-01-01,1.7
2003-01-01,2.9
2004-01-01,3.8
2005-01-01,3.5
2006-01-01,2.9
2007-01-01,1.9
2008-01-01,-0.1
2009-01-01,-2.5
2010-01-01,2.6
2011-01-01,1.6
2012-01-01,2.2
2013-01-01,1.8
2014-01-01,2.5
2015-01-01,2.9
2016-01-01,1.6
2017-01-01,2.4
2018-01-01,2.9
2019-01-01,2.3
